4;-0.0019932
4.0195;-0.0029153
4.0391;-0.0039621
4.0586;-0.0050978
4.0781;-0.0062822
4.0977;-0.0074715
4.1172;-0.0086206
4.1367;-0.0096837
4.1563;-0.010616
4.1758;-0.011377
4.1953;-0.011928
4.2148;-0.012235
4.2344;-0.012274
4.2539;-0.012022
4.2734;-0.011469
4.293;-0.010607
4.3125;-0.0094406
4.332;-0.0079777
4.3516;-0.0062346
4.3711;-0.0042331
4.3906;-0.0020003
4.4102;0.00043224
4.4297;0.0030299
4.4492;0.0057553
4.4688;0.0085696
4.4883;0.011433
4.5078;0.014305
4.5273;0.017145
4.5469;0.019913
4.5664;0.022569
4.5859;0.025072
4.6055;0.027382
4.625;0.029456
4.6445;0.031249
4.6641;0.032717
4.6836;0.033809
4.7031;0.034472
4.7227;0.034649
4.7422;0.034282
4.7617;0.033305
4.7813;0.031654
4.8008;0.029263
4.8203;0.026064
4.8398;0.021996
4.8594;0.017003
4.8789;0.011038
4.8984;0.0040663
4.918;-0.0039279
4.9375;-0.01294
4.957;-0.022941
4.9766;-0.033872
4.9961;-0.045641
5.0156;-0.05812
5.0352;-0.071143
5.0547;-0.084505
5.0742;-0.09796
5.0938;-0.11122
5.1133;-0.12398
5.1328;-0.13586
5.1523;-0.14649
5.1719;-0.15547
5.1914;-0.16239
5.2109;-0.16681
5.2305;-0.16834
5.25;-0.16657
5.2695;-0.16116
5.2891;-0.15178
5.3086;-0.13819
5.3281;-0.1202
5.3477;-0.097706
5.3672;-0.070713
5.3867;-0.039319
5.4063;-0.0037348
5.4258;0.035709
5.4453;0.078561
5.4648;0.12425
5.4844;0.1721
5.5039;0.22131
5.5234;0.27098
5.543;0.32014
5.5625;0.36774
5.582;0.41267
5.6016;0.45383
5.6211;0.49007
5.6406;0.5203
5.6602;0.54347
5.6797;0.5586
5.6992;0.56483
5.7188;0.56143
5.7383;0.54782
5.7578;0.52361
5.7773;0.48862
5.7969;0.44286
5.8164;0.38658
5.8359;0.32026
5.8555;0.24463
5.875;0.16062
5.8945;0.069401
5.9141;-0.027658
5.9336;-0.12901
5.9531;-0.23295
5.9727;-0.33766
5.9922;-0.44121
6.0117;-0.54164
6.0313;-0.63699
6.0508;-0.7253
6.0703;-0.80473
6.0898;-0.87352
6.1094;-0.93011
6.1289;-0.97312
6.1484;-1.0014
6.168;-1.0141
6.1875;-1.0106
6.207;-0.99073
6.2266;-0.95444
6.2461;-0.90216
6.2656;-0.83459
6.2852;-0.75277
6.3047;-0.65802
6.3242;-0.55194
6.3438;-0.43637
6.3633;-0.31335
6.3828;-0.18509
6.4023;-0.05392
6.4219;0.077783
6.4414;0.20762
6.4609;0.33323
6.4805;0.45234
6.5;0.56284
6.5195;0.66278
6.5391;0.75047
6.5586;0.82447
6.5781;0.88364
6.5977;0.92717
6.6172;0.95459
6.6367;0.96578
6.6563;0.96095
6.6758;0.94066
6.6953;0.9058
6.7148;0.85754
6.7344;0.79731
6.7539;0.72678
6.7734;0.64781
6.793;0.56236
6.8125;0.47251
6.832;0.38036
6.8516;0.28799
6.8711;0.19741
6.8906;0.11052
6.9102;0.029042
6.9297;-0.045489
6.9492;-0.11179
6.9688;-0.16882
6.9883;-0.21586
7.0078;-0.25246
